text,label,processed_text
Fears for T N pension after talks Unions representing workers at Turner   Newall say they are 'disappointed' after talks with stricken parent firm Federal Mogul.,2,fear n pension talk union representing worker turner newall say disappointed talk stricken parent firm federal mogul
"The Race is On: Second Private Team Sets Launch Date for Human Spaceflight (SPACE.com) SPACE.com - TORONTO, Canada -- A second\team of rocketeers competing for the  #36;10 million Ansari X Prize, a contest for\privately funded suborbital space flight, has officially announced the first\launch date for its manned rocket.",3,race second private team set launch date human spaceflight spacecom spacecom toronto canada secondteam rocketeers competing million ansari x prize contest forprivately funded suborbital space flight officially announced firstlaunch date manned rocket
"Ky. Company Wins Grant to Study Peptides (AP) AP - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.",3,ky company win grant study peptide ap ap company founded chemistry researcher university louisville grant develop method producing better peptide short chain amino acid building block protein
"Prediction Unit Helps Forecast Wildfires (AP) AP - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.",3,prediction unit help forecast wildfire ap ap barely dawn mike fitzpatrick start shift blur colorful map figure endless chart already know day bring lightning strike place expects wind pick moist place dry flame roar
"Calif. Aims to Limit Farm-Related Smog (AP) AP - Southern California's smog-fighting agency went after emissions of the bovine variety Friday, adopting the nation's first rules to reduce air pollution from dairy cow manure.",3,calif aim limit farmrelated smog ap ap southern california smogfighting agency went emission bovine variety friday adopting nation first rule reduce air pollution dairy cow manure
"Open Letter Against British Copyright Indoctrination in Schools The British Department for Education and Skills (DfES) recently launched a ""Music Manifesto"" campaign, with the ostensible intention of educating the next generation of British musicians. Unfortunately, they also teamed up with the music industry (EMI, and various artists) to make this popular. EMI has apparently negotiated their end well, so that children in our schools will now be indoctrinated about the illegality of downloading music.The ignorance and audacity of this got to me a little, so I wrote an open letter to the DfES about it. Unfortunately, it's pedantic, as I suppose you have to be when writing to goverment representatives. But I hope you find it useful, and perhaps feel inspired to do something similar, if or when the same thing has happened in your area.",3,open letter british copyright indoctrination school british department education skill dfes recently launched music manifesto campaign ostensible intention educating next generation british musician unfortunately also teamed music industry emi various artist make popular emi apparently negotiated end well child school indoctrinated illegality downloading musicthe ignorance audacity got little wrote open letter dfes unfortunately pedantic suppose writing goverment representative hope find useful perhaps feel inspired something similar thing happened area
"Loosing the War on Terrorism \\""Sven Jaschan, self-confessed author of the Netsky and Sasser viruses, is\responsible for 70 percent of virus infections in 2004, according to a six-month\virus roundup published Wednesday by antivirus company Sophos.""\\""The 18-year-old Jaschan was taken into custody in Germany in May by police who\said he had admitted programming both the Netsky and Sasser worms, something\experts at Microsoft confirmed. (A Microsoft antivirus reward program led to the\teenager's arrest.) During the five months preceding Jaschan's capture, there\were at least 25 variants of Netsky and one of the port-scanning network worm\Sasser.""\\""Graham Cluley, senior technology consultant at Sophos, said it was staggeri ...\\",3,loosing war terrorism sven jaschan selfconfessed author netsky sasser virus isresponsible percent virus infection according sixmonthvirus roundup published wednesday antivirus company sophosthe yearold jaschan taken custody germany may police whosaid admitted programming netsky sasser worm somethingexperts microsoft confirmed microsoft antivirus reward program led theteenagers arrest five month preceding jaschans capture therewere least variant netsky one portscanning network wormsassergraham cluley senior technology consultant sophos said staggeri
"FOAFKey: FOAF, PGP, Key Distribution, and Bloom Filters \\FOAF/LOAF  and bloom filters have a lot of interesting properties for social\network and whitelist distribution.\\I think we can go one level higher though and include GPG/OpenPGP key\fingerpring distribution in the FOAF file for simple web-of-trust based key\distribution.\\What if we used FOAF and included the PGP key fingerprint(s) for identities?\This could mean a lot.  You include the PGP key fingerprints within the FOAF\file of your direct friends and then include a bloom filter of the PGP key\fingerprints of your entire whitelist (the source FOAF file would of course need\to be encrypted ).\\Your whitelist would be populated from the social network as your client\discovered new identit ...\\",3,foafkey foaf pgp key distribution bloom filter foafloaf bloom filter lot interesting property socialnetwork whitelist distributioni think go one level higher though include gpgopenpgp keyfingerpring distribution foaf file simple weboftrust based keydistributionwhat used foaf included pgp key fingerprint identitiesthis could mean lot include pgp key fingerprint within foaffile direct friend include bloom filter pgp keyfingerprints entire whitelist source foaf file would course needto encrypted whitelist would populated social network clientdiscovered new identit
"E-mail scam targets police chief Wiltshire Police warns about ""phishing"" after its fraud squad chief was targeted.",3,email scam target police chief wiltshire police warns phishing fraud squad chief targeted
"Card fraud unit nets 36,000 cards In its first two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.",3,card fraud unit net card first two year uk dedicated card fraud unit recovered stolen card arrest estimate saved
"Group to Propose New High-Speed Wireless Format  LOS ANGELES (Reuters) - A group of technology companies  including Texas Instruments Inc. &lt;TXN.N&gt;, STMicroelectronics  &lt;STM.PA&gt; and Broadcom Corp. &lt;BRCM.O&gt;, on Thursday said they  will propose a new wireless networking standard up to 10 times  the speed of the current generation.",3,group propose new highspeed wireless format los angeles reuters group technology company including texas instrument inc txnn stmicroelectronics stmpa broadcom corp brcmo thursday said propose new wireless networking standard time speed current generation
"Apple Launches Graphics Software, Video Bundle  LOS ANGELES (Reuters) - Apple Computer Inc.&lt;AAPL.O&gt; on  Tuesday began shipping a new program designed to let users  create real-time motion graphics and unveiled a discount  video-editing software bundle featuring its flagship Final Cut  Pro software.",3,apple launch graphic software video bundle los angeles reuters apple computer incaaplo tuesday began shipping new program designed let user create realtime motion graphic unveiled discount videoediting software bundle featuring flagship final cut pro software
"Dutch Retailer Beats Apple to Local Download Market  AMSTERDAM (Reuters) - Free Record Shop, a Dutch music  retail chain, beat Apple Computer Inc. to market on Tuesday  with the launch of a new download service in Europe's latest  battleground for digital song services.",3,dutch retailer beat apple local download market amsterdam reuters free record shop dutch music retail chain beat apple computer inc market tuesday launch new download service europe latest battleground digital song service
"Super ant colony hits Australia A giant 100km colony of ants  which has been discovered in Melbourne, Australia, could threaten local insect species.",3,super ant colony hit australia giant km colony ant discovered melbourne australia could threaten local insect specie
"Socialites unite dolphin groups Dolphin groups, or ""pods"", rely on socialites to keep them from collapsing, scientists claim.",3,socialite unite dolphin group dolphin group pod rely socialite keep collapsing scientist claim
Teenage T. rex's monster growth Tyrannosaurus rex achieved its massive size due to an enormous growth spurt during its adolescent years.,3,teenage rex monster growth tyrannosaurus rex achieved massive size due enormous growth spurt adolescent year
"Scientists Discover Ganymede has a Lumpy Interior Jet Propulsion Lab -- Scientists have discovered irregular lumps beneath the icy surface of Jupiter's largest moon, Ganymede. These irregular masses may be rock formations, supported by Ganymede's icy shell for billions of years...",3,scientist discover ganymede lumpy interior jet propulsion lab scientist discovered irregular lump beneath icy surface jupiter largest moon ganymede irregular mass may rock formation supported ganymede icy billion year
"Mars Rovers Relay Images Through Mars Express European Space Agency -- ESAs Mars Express has relayed pictures from one of NASA's Mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     The demonstrations pave the way for future Mars missions to draw on joint interplanetary networking capabilities...",3,mar rover relay image mar express european space agency esas mar express relayed picture one nasa mar rover first time part set interplanetary networking demonstration demonstration pave way future mar mission draw joint interplanetary networking capability
"Rocking the Cradle of Life When did life begin? One evidential clue stems from the fossil records in Western Australia, although whether these layered sediments are biological or chemical has spawned a spirited debate. Oxford researcher, Nicola McLoughlin, describes some of the issues in contention.",3,rocking cradle life life begin one evidential clue stem fossil record western australia although whether layered sediment biological chemical spawned spirited debate oxford researcher nicola mcloughlin describes issue contention
"Storage, servers bruise HP earnings update Earnings per share rise compared with a year ago, but company misses analysts' expectations by a long shot.",3,storage server bruise hp earnings update earnings per share rise compared year ago company miss analyst expectation long shot
"IBM to hire even more new workers By the end of the year, the computing giant plans to have its biggest headcount since 1991.",3,ibm hire even new worker end year computing giant plan biggest headcount since
Sun's Looking Glass Provides 3D View Developers get early code for new operating system 'skin' still being crafted.,3,sun looking glass provides view developer get early code new operating system skin still crafted
IBM Chips May Someday Heal Themselves New technology applies electrical fuses to help identify and repair faults.,3,ibm chip may someday heal new technology applies electrical fuse help identify repair fault
"Some People Not Eligible to Get in on Google IPO Google has billed its IPO as a way for everyday people to get in on the process, denying Wall Street the usual stranglehold it's had on IPOs. Public bidding, a minimum of just five shares, an open process with 28 underwriters - all this pointed to a new level of public participation. But this isn't the case.",3,people eligible get google ipo google billed ipo way everyday people get process denying wall street usual stranglehold ipo public bidding minimum five share open process underwriter pointed new level public participation case
"Rivals Try to Turn Tables on Charles Schwab By MICHAEL LIEDTKE     SAN FRANCISCO (AP) -- With its low prices and iconoclastic attitude, discount stock broker Charles Schwab Corp. (SCH) represented an annoying stone in Wall Street's wing-tipped shoes for decades...",3,rival try turn table charles schwab michael liedtke san francisco ap low price iconoclastic attitude discount stock broker charles schwab corp sch represented annoying stone wall street wingtipped shoe decade
News: Sluggish movement on power grid cyber security Industry cyber security standards fail to reach some of the most vulnerable components of the power grid.\,3,news sluggish movement power grid cyber security industry cyber security standard fail reach vulnerable component power grid
Giddy Phelps Touches Gold for First Time Michael Phelps won the gold medal in the 400 individual medley and set a world record in a time of 4 minutes 8.26 seconds.,1,giddy phelps touch gold first time michael phelps gold medal individual medley set world record time minute second
"Tougher rules won't soften Law's game FOXBOROUGH -- Looking at his ridiculously developed upper body, with huge biceps and hardly an ounce of fat, it's easy to see why Ty Law, arguably the best cornerback in football, chooses physical play over finesse. That's not to imply that he's lacking a finesse component, because he can shut down his side of the field much as Deion Sanders ...",1,tougher rule soften law game foxborough looking ridiculously developed upper body huge biceps hardly ounce fat easy see ty law arguably best cornerback football chooses physical play finesse imply lacking finesse component shut side field much deion sander
"Shoppach doesn't appear ready to hit the next level With the weeks dwindling until Jason Varitek enters free agency, the Red Sox continue to carefully monitor Kelly Shoppach , their catcher of the future, in his climb toward the majors. The Sox like most of what they have seen at Triple A Pawtucket from Shoppach, though it remains highly uncertain whether he can make the adjustments at the plate ...",1,shoppach appear ready hit next level week dwindling jason varitek enters free agency red sox continue carefully monitor kelly shoppach catcher future climb toward major sox like seen triple pawtucket shoppach though remains highly uncertain whether make adjustment plate
"Mighty Ortiz makes sure Sox can rest easy Just imagine what David Ortiz could do on a good night's rest. Ortiz spent the night before last with his baby boy, D'Angelo, who is barely 1 month old. He had planned on attending the Red Sox' Family Day at Fenway Park yesterday morning, but he had to sleep in. After all, Ortiz had a son at home, and he ...",1,mighty ortiz make sure sox rest easy imagine david ortiz could good night rest ortiz spent night last baby boy dangelo barely month old planned attending red sox family day fenway park yesterday morning sleep ortiz son home
"They've caught his eye In  quot;helping themselves, quot; Ricky Bryant, Chas Gessner, Michael Jennings, and David Patten did nothing Friday night to make Bill Belichick's decision on what to do with his receivers any easier.",1,caught eye quothelping quot ricky bryant chas gessner michael jennings david patten nothing friday night make bill belichicks decision receiver easier
"Indians Mount Charge The Cleveland Indians pulled within one game of the AL Central lead by beating the Minnesota Twins, 7-1, Saturday night with home runs by Travis Hafner and Victor Martinez.",1,indian mount charge cleveland indian pulled within one game al central lead beating minnesota twin saturday night home run travis hafner victor martinez
Sister of man who died in Vancouver police custody slams chief (Canadian Press) Canadian Press - VANCOUVER (CP) - The sister of a man who died after a violent confrontation with police has demanded the city's chief constable resign for defending the officer involved.,0,sister man died vancouver police custody slam chief canadian press canadian press vancouver cp sister man died violent confrontation police demanded city chief constable resign defending officer involved
